"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
6540, 2.566138254782300e-02, -7.113859035587000e-03, 4.255271877879765e+05, -4.955769601552998e+00, 5.889854401231575e-03, -6.928769129774467e-03
6538, 2.531924808449400e-02, -6.714416053561000e-03, 4.293142888753378e+05, -4.923099647383213e+00, 5.918318425131828e-03, -6.855474210577429e-03
6536, 2.497351144192800e-02, -6.317064695046000e-03, 4.329137951853969e+05, -4.892048005647024e+00, 5.945044387574557e-03, -6.777161325534773e-03
6534, 2.462431457198900e-02, -5.922213974362000e-03, 4.361282176285774e+05, -4.864318343438772e+00, 5.971940058676577e-03, -6.697520606512056e-03
6532, 2.427172530939600e-02, -5.530012742445000e-03, 4.389968682699588e+05, -4.839571529762260e+00, 6.005660011941181e-03, -6.622690093503706e-03
6530, 2.391561246569400e-02, -5.140698802129000e-03, 4.416388439277889e+05, -4.816780159353097e+00, 6.044497948252042e-03, -6.549635001555163e-03
6528, 2.355595619410600e-02, -4.754426996421000e-03, 4.440868831170223e+05, -4.795661808859365e+00, 6.088768914719574e-03, -6.479720878794018e-03
6526, 2.319277210395100e-02, -4.371445797191000e-03, 4.464851033260866e+05, -4.774973228725960e+00, 6.137951494194692e-03, -6.411907027809129e-03
6524, 2.282632607825400e-02, -3.992231258648000e-03, 4.491337809972068e+05, -4.752124042467160e+00, 6.189766906320656e-03, -6.343462331968589e-03
6522, 2.245726714256700e-02, -3.617677830137000e-03, 4.521724792147447e+05, -4.725910289727875e+00, 6.239470767550207e-03, -6.268486909770522e-03
6520, 2.208563545789900e-02, -3.248096117887000e-03, 4.554234494057515e+05, -4.697865343290618e+00, 6.283653521330620e-03, -6.184767103983287e-03
6518, 2.171019157455800e-02, -2.882359057145000e-03, 4.587772125940082e+05, -4.668933638768045e+00, 6.325548604050532e-03, -6.095587699666612e-03
6516, 2.133022004122900e-02, -2.520143301424000e-03, 4.621865080606923e+05, -4.639522877323219e+00, 6.364414229703138e-03, -5.999294661106630e-03
6514, 2.094593150430600e-02, -2.161943761459000e-03, 4.655099557343468e+05, -4.610852693803081e+00, 6.401151974721881e-03, -5.897489371111840e-03
6512, 2.055736669828100e-02, -1.808100470155000e-03, 4.686828069323623e+05, -4.583481651722202e+00, 6.437719281942664e-03, -5.791502739293499e-03
6510, 2.016443413577700e-02, -1.458892890123000e-03, 4.715663815846684e+05, -4.558606093990092e+00, 6.476434771793164e-03, -5.683390997260569e-03
6508, 1.976707256279600e-02, -1.114578380754000e-03, 4.741460124680194e+05, -4.536352549447727e+00, 6.521170906669279e-03, -5.576379831047775e-03
6506, 1.936519560372000e-02, -7.754485065690001e-04, 4.765751995140418e+05, -4.515396829589011e+00, 6.574000265935936e-03, -5.471577163775497e-03
6504, 1.895872822653200e-02, -4.417888718020000e-04, 4.791095274284664e+05, -4.493534097407984e+00, 6.634537828982425e-03, -5.367711116402990e-03
6502, 1.854757062314000e-02, -1.139442977700000e-04, 4.819371527429784e+05, -4.469141194418751e+00, 6.698855189323929e-03, -5.261715413807818e-03
6500, 1.813169369724400e-02, 2.078176964130000e-04, 4.852087114620591e+05, -4.440918638180994e+00, 6.763685330166613e-03, -5.149932617487485e-03
6498, 1.771096044976200e-02, 5.230584322040000e-04, 4.890155398246173e+05, -4.408078503928422e+00, 6.824411346186872e-03, -5.028752742524852e-03
6496, 1.728536919254600e-02, 8.314548803650000e-04, 4.934020354259083e+05, -4.370237789631570e+00, 6.881351557895462e-03, -4.899580087003360e-03
6494, 1.685487088271300e-02, 1.132601391914000e-03, 4.988347246468506e+05, -4.323371940589625e+00, 6.925162445508482e-03, -4.754855117001086e-03
6492, 1.641939362172800e-02, 1.426038531868000e-03, 5.023969605886546e+05, -4.292641816868058e+00, 6.984175804992269e-03, -4.613888337196640e-03
6490, 1.597887258889500e-02, 1.711303650291000e-03, 5.078087088980655e+05, -4.245956617511512e+00, 7.056237343906080e-03, -4.474993499770207e-03
6488, 1.553328126948900e-02, 1.988001915903000e-03, 5.133783127110976e+05, -4.197909655701365e+00, 7.112509349211938e-03, -4.319697352766437e-03
6486, 1.508255864099100e-02, 2.255669189640000e-03, 5.192318703849911e+05, -4.147413126423472e+00, 7.167329535724806e-03, -4.155889987316383e-03
6484, 1.462661408906200e-02, 2.513721995911000e-03, 5.252394037250262e+05, -4.095588304649532e+00, 7.224943625904605e-03, -3.986876773410932e-03
6482, 1.416546399170700e-02, 2.761741422943000e-03, 5.315957384695092e+05, -4.040754499055303e+00, 7.295109249212943e-03, -3.814540423521102e-03
6480, 1.369891519716800e-02, 2.998806564640000e-03, 5.399016425468808e+05, -3.969102462501028e+00, 7.367151024863133e-03, -3.618531529267883e-03
6478, 1.322640276045000e-02, 3.222981142578000e-03, 5.504664898902797e+05, -3.877963337730506e+00, 7.389091660585002e-03, -3.381599369172051e-03
6476, 1.274817585488300e-02, 3.433910053377000e-03, 5.591417253063791e+05, -3.803125213022954e+00, 7.364797776633834e-03, -3.153577523795296e-03
6474, 1.226582160001100e-02, 3.634298228154000e-03, 5.664148225895839e+05, -3.740382827902140e+00, 7.376378003380675e-03, -2.946856998932454e-03
6472, 1.177848257202300e-02, 3.821301729360000e-03, 5.752059216372974e+05, -3.664545189464308e+00, 7.411894001282384e-03, -2.721879244877137e-03
6470, 1.128623144447900e-02, 3.994034364743000e-03, 5.844847722888980e+05, -3.584499893988112e+00, 7.431046662590902e-03, -2.483303492231037e-03
6468, 1.078928672713900e-02, 4.151870706738000e-03, 5.941052073872673e+05, -3.501507872780648e+00, 7.455842846889489e-03, -2.239203899113274e-03
6466, 1.028783828360800e-02, 4.293880526281000e-03, 6.087215404027548e+05, -3.375418043454496e+00, 7.462394721037308e-03, -1.951667672261482e-03
6464, 9.781364342612999e-03, 4.415476373225000e-03, 6.234558757463403e+05, -3.248310250635436e+00, 7.369508972776665e-03, -1.644369310904575e-03
6462, 9.271875384359999e-03, 4.520573813271000e-03, 6.367998421542977e+05, -3.133196668786251e+00, 7.259985486939921e-03, -1.369374758227461e-03
6460, 8.762653402740000e-03, 4.607625110919000e-03, 6.504093428638980e+05, -3.015792418358367e+00, 7.170720020671387e-03, -1.091316225506200e-03
6458, 8.262399787664000e-03, 4.674206516089000e-03, 6.641563464149219e+05, -2.897201980547602e+00, 7.079351653905324e-03, -8.102024983845730e-04
6456, 7.778725364297000e-03, 4.720231602862000e-03, 6.790396504111653e+05, -2.768809088930595e+00, 6.986514409467931e-03, -5.206055972235107e-04
6454, 7.303674745402000e-03, 4.745646664058000e-03, 6.973650760873326e+05, -2.610722255975392e+00, 6.833689565633950e-03, -2.107562189283548e-04
6452, 6.821999285850000e-03, 4.749737767710000e-03, 7.152228864353665e+05, -2.456669371675582e+00, 6.584914838456266e-03, 6.329690550270392e-05
6450, 6.326295798432000e-03, 4.736251696262000e-03, 7.319471712204608e+05, -2.312395003274148e+00, 6.343467465144125e-03, 3.126540784639809e-04
6448, 5.826804400490000e-03, 4.700687033000000e-03, 7.499038123947325e+05, -2.157489541108243e+00, 6.108079899231644e-03, 5.761764655037558e-04
6446, 5.335643883154000e-03, 4.642803292098000e-03, 7.706803866840862e+05, -1.978257533781175e+00, 5.823312945910734e-03, 8.490951118058324e-04
6444, 4.856327544734000e-03, 4.559182160774000e-03, 7.910349501657862e+05, -1.802666061371754e+00, 5.443454741244422e-03, 1.063667533953790e-03
