 VARIABLES = "X",  "Y"
 ZONE N=       16847 , E=       22757 , F=FEPOINT, ET=QUADRILATERAL
        0.0498425117       -0.0505091944
       -0.0000434740       -0.0001514516
       -0.0000000000       -0.0290328500
       -0.0124497600       -0.0290328500
        0.0497990500       -0.0799362800
        0.0622488200       -0.0799362800
        0.0622488200       -0.0218705800
        0.0497990500       -0.0218705800
        0.0000000000        0.0290328500
       -0.0124497600        0.0290328500
        0.0498383246       -0.0503833807
        0.0498255954       -0.0502633080
        0.0498061765       -0.0501468181
        0.0497798657       -0.0500280458
        0.0497458701       -0.0499040353
        0.0497039430       -0.0497764692
        0.0496524787       -0.0496444682
        0.0495928242       -0.0495035890
        0.0495270939       -0.0493494904
        0.0494515896       -0.0491725121
        0.0493540907       -0.0489446003
        0.0492254663       -0.0486444002
        0.0490472587       -0.0482298634
        0.0488409011       -0.0477516418
        0.0486282444       -0.0472608462
        0.0484159421       -0.0467729399
        0.0482057944       -0.0462922525
        0.0479956446       -0.0458134626
        0.0477846001       -0.0453347555
        0.0475726176       -0.0448560957
        0.0473598456       -0.0443776723
        0.0471462730       -0.0438996224
        0.0469318893       -0.0434219622
        0.0467167612       -0.0429446626
        0.0465008008       -0.0424678664
        0.0462841360       -0.0419917380
        0.0460671531       -0.0415166604
        0.0458501821       -0.0410434113
        0.0456326945       -0.0405718963
        0.0454143062       -0.0401006866
        0.0451948660       -0.0396294978
        0.0449744890       -0.0391586512
        0.0447531946       -0.0386882465
        0.0445309794       -0.0382182739
        0.0443079378       -0.0377487173
        0.0440839780       -0.0372797056
        0.0438591791       -0.0368112357
        0.0436334468       -0.0363432718
        0.0434066565       -0.0358756218
        0.0431789086       -0.0354075970
        0.0429496846       -0.0349386782
        0.0427184045       -0.0344689343
        0.0424854257       -0.0339985115
        0.0422509051       -0.0335276701
        0.0420149790       -0.0330567092
        0.0417778233       -0.0325859854
        0.0415395725       -0.0321157953
        0.0413003706       -0.0316464408
        0.0410604456       -0.0311783701
        0.0408196390       -0.0307113655
        0.0405760582       -0.0302416808
        0.0403304439       -0.0297711788
        0.0400841246       -0.0293018676
        0.0398372710       -0.0288329728
        0.0395886727       -0.0283647257
        0.0393384923       -0.0278972182
        0.0390870335       -0.0274304291
        0.0388340932       -0.0269641174
        0.0385796796       -0.0264981652
        0.0383238195       -0.0260327681
        0.0380665946       -0.0255680203
        0.0378080172       -0.0251039973
        0.0375480276       -0.0246408024
        0.0372867055       -0.0241783983
        0.0370238418       -0.0237169087
        0.0367598905       -0.0232561065
        0.0364951182       -0.0227957474
        0.0362282237       -0.0223365640
        0.0359595055       -0.0218784665
        0.0356892049       -0.0214213049
        0.0354172164       -0.0209651466
        0.0351436578       -0.0205099518
        0.0348684833       -0.0200557645
        0.0345916636       -0.0196026037
        0.0343131710       -0.0191504851
        0.0340329421       -0.0186994712
        0.0337509787       -0.0182495845
        0.0334673133       -0.0178007968
        0.0331817541       -0.0173532573
        0.0328944395       -0.0169069961
        0.0326063946       -0.0164612686
        0.0323160545       -0.0160169652
        0.0320229263       -0.0155745334
        0.0317277752       -0.0151335193
        0.0314306081       -0.0146938909
        0.0311313995       -0.0142556930
        0.0308301020       -0.0138189943
        0.0305266789       -0.0133838448
        0.0302211089       -0.0129502821
        0.0299133261       -0.0125183728
        0.0296032768       -0.0120881507
        0.0292908871       -0.0116596781
        0.0289761967       -0.0112329618
        0.0286590790       -0.0108081159
        0.0283393761       -0.0103853762
        0.0280185910       -0.0099635133
        0.0276947968       -0.0095438900
        0.0273673741       -0.0091272259
        0.0270373822       -0.0087128030
        0.0267047070       -0.0083009312
        0.0263698068       -0.0078921779
        0.0260333261       -0.0074873286
        0.0256945066       -0.0070857018
        0.0253521562       -0.0066860067
        0.0250061934       -0.0062883956
        0.0246567631       -0.0058932809
        0.0243039301       -0.0055008085
        0.0239475609       -0.0051112144
        0.0235876382       -0.0047246565
        0.0232241767       -0.0043413828
        0.0228574416       -0.0039618692
        0.0224880792       -0.0035870079
        0.0221161318       -0.0032171122
        0.0217403585       -0.0028510543
        0.0213600404       -0.0024885082
        0.0209753890       -0.0021299706
        0.0205864428       -0.0017757801
        0.0201931095       -0.0014262163
        0.0197953268       -0.0010815371
        0.0193930070       -0.0007420336
        0.0189860727       -0.0004079908
        0.0185744248       -0.0000797554
        0.0181580303        0.0002424070
        0.0177367502        0.0005580573
        0.0173105847        0.0008668697
        0.0168794786        0.0011684412
        0.0164433568        0.0014623125
        0.0160021560        0.0017480176
        0.0155558488        0.0020251602
        0.0151043659        0.0022932787
        0.0146476183        0.0025517858
        0.0141856085        0.0028002671
        0.0137180813        0.0030378282
        0.0132444940        0.0032625126
        0.0127652885        0.0034738749
        0.0122819500        0.0036746703
        0.0117934690        0.0038621115
        0.0113000105        0.0040352675
        0.0108017914        0.0041935080
        0.0102988381        0.0043359404
        0.0097908316        0.0044579075
        0.0092799309        0.0045632955
        0.0087691852        0.0046506061
        0.0082673276        0.0047174008
        0.0077819465        0.0047635866
        0.0073050210        0.0047891003
        0.0068215927        0.0047932104
        0.0063241603        0.0047796737
        0.0058227153        0.0047439688
        0.0053293615        0.0046858215
        0.0048479818        0.0046018481
        0.0043796356        0.0045002497
        0.0039322816        0.0043808335
        0.0035165127        0.0042484969
        0.0031333903        0.0041060819
        0.0027704110        0.0039497264
        0.0024252584        0.0037849283
        0.0021323517        0.0036294499
        0.0019219255        0.0035078861
        0.0017589354        0.0034076014
        0.0016263657        0.0033216265
        0.0015079772        0.0032409882
        0.0014003881        0.0031613342
        0.0013025494        0.0030808506
        0.0012110320        0.0029971764
        0.0011221575        0.0029069642
        0.0010324735        0.0028063190
        0.0009395751        0.0026912975
        0.0008416532        0.0025575488
        0.0007369933        0.0024000437
        0.0006237592        0.0022122563
        0.0005012283        0.0019888916
        0.0003756575        0.0017390997
        0.0002670829        0.0014957107
        0.0001842996        0.0012861951
        0.0001197606        0.0010994547
        0.0000693512        0.0009282976
        0.0000307615        0.0007675309
        0.0000014494        0.0006099807
       -0.0000195029        0.0004476615
       -0.0000335290        0.0002726896
       -0.0000413224        0.0000765928
       -0.0000384639       -0.0004129481
       -0.0000271315       -0.0007040449
       -0.0000116985       -0.0009800110
        0.0000115035       -0.0012207904
        0.0000423282       -0.0014304800
        0.0000767903       -0.0016085257
        0.0001123718       -0.0017575713
        0.0001488260       -0.0018868358
        0.0001876710       -0.0020030849
        0.0002298806       -0.0021105630
        0.0002767309       -0.0022132275
        0.0003301189       -0.0023148487
        0.0003919715       -0.0024186157
        0.0004624105       -0.0025264286
        0.0005403680       -0.0026399518
        0.0006299150       -0.0027660096
        0.0007393966       -0.0029149458
        0.0008759245       -0.0030938862
        0.0010742579       -0.0033418536
        0.0013605645       -0.0036820627
        0.0017011344       -0.0040661003
        0.0020592321       -0.0044499500
        0.0024260778       -0.0048253898
        0.0027989833       -0.0051936725
        0.0031769760       -0.0055558078
        0.0035601186       -0.0059115406
        0.0039469578       -0.0062622203
        0.0043368712       -0.0066086061
        0.0047298140       -0.0069507541
        0.0051256901       -0.0072885395
        0.0055230362       -0.0076236714
        0.0059222620       -0.0079557889
        0.0063233082       -0.0082850405
        0.0067259650       -0.0086120203
        0.0071298460       -0.0089375501
        0.0075350981       -0.0092616032
        0.0079416110       -0.0095842748
        0.0083492566       -0.0099056162
