    np2    ns2
    562    562
 Face:           1
       372       371       422
       371         3       422
       372       422       421
       512       372       421
       512       421       513
       512       373       372
       513       421       514
       511       373       512
       514       421       420
       511       374       373
       514       420       515
       510       374       511
       515       420       516
       510       375       374
       516       420       517
       509       375       510
       517       420       419
       508       375       509
       517       419       518
       508       376       375
       518       419       519
         4       376       508
       519       419       418
       519       418       520
       520       418       521
       521       418       417
       521       417       522
       522       417       223
       223       417       224
       522       223       222
       224       417       225
       522       222       523
       225       417       226
       523       222       221
       226       417       416
       523       221       524
       227       226       416
       524       221       220
       228       227       416
       524       220       525
       229       228       416
       525       220       219
       230       229       416
       525       219       526
       231       230       416
       526       219       218
       232       231       416
       526       218       527
       232       416       415
       527       218       217
       233       232       415
       527       217       528
       234       233       415
       528       217       529
       235       234       415
       529       217       216
       236       235       415
       529       216       215
       237       236       415
       529       215       530
       238       237       415
       530       215       214
       239       238       415
       530       214       531
       240       239       415
       531       214       213
       241       240       415
       531       213       532
       242       241       415
       532       213       212
       243       242       415
       532       212       211
       243       415       414
       532       211       533
       244       243       414
       533       211       210
       245       244       414
       533       210       209
       246       245       414
       533       209       534
       247       246       414
       534       209       208
       248       247       414
       534       208       207
       249       248       414
       534       207       206
       250       249       414
       534       206       535
       252       250       414
       535       206       205
       261       252       414
       252       251       250
       535       205       204
       262       261       414
       261       255       252
       535       204       536
       263       262       414
       252       255       254
       261       259       255
       536       204         2
       264       263       414
       254       253       252
       259       258       255
       261       260       259
       536         2       203
       265       264       414
       255       258       257
       536       203       537
       266       265       414
       255       257       256
       537       203       202
       267       266       414
       537       202       538
       268       267       414
       538       202       201
       269       268       414
       538       201       200
       270       269       414
       538       200       199
       271       270       414
       538       199       539
       272       271       414
       539       199       198
       273       272       414
       539       198       197
       274       273       414
       539       197       196
       275       274       414
       539       196       540
       276       275       414
       540       196       195
       277       276       414
       540       195       194
       414       413       277
       540       194       541
       277       413       278
       541       194       193
       278       413       279
       541       193       542
       279       413       280
       542       193       192
       280       413       281
       542       192       191
       281       413       282
       542       191       543
       282       413       283
       543       191       190
       283       413       284
       543       190       189
       284       413       285
       543       189       544
       285       413       286
       544       189       188
       413       412       286
       544       188       545
       286       412       287
       545       188       187
       287       412       288
       545       187       186
       288       412       289
       545       186       546
       289       412       290
       546       186       185
       290       412       291
       546       185       547
       291       412       292
       547       185       184
       292       412       293
       547       184       183
       412       411       293
       547       183       548
       293       411       294
       548       183       182
       294       411       295
       548       182       549
       295       411       296
       549       182       181
       296       411       297
       549       181       180
       297       411       298
       549       180       550
       411       410       298
       550       180       179
       298       410       299
       550       179       551
       299       410       300
       551       179       178
       300       410       301
       551       178       177
       301       410       302
       551       177       552
       302       410       303
       552       177       176
       410       409       303
       552       176       553
       303       409       304
       553       176       175
       304       409       305
       553       175       174
       305       409       306
       553       174       554
       306       409       307
       554       174       173
       409       408       307
       554       173       555
       307       408       308
       173       507       555
       308       408       309
       555       507       556
       173       172       507
       309       408       310
       556       507       506
       172         9       507
       310       408       311
       556       506       557
         9       172       171
       408       407       311
       557       506       558
         9       171       170
       311       407       312
       558       506       505
         9       170       169
       312       407       313
       558       505       559
         9       169       168
       313       407       314
       559       505       504
         9       168       167
       407       406       314
       559       504       560
         9       167       166
       314       406       315
       560       504       503
         9       166       165
       315       406       316
       560       503       561
         9       165       164
       316       406       317
       561       503       502
         9       164       163
       317       406       318
       561       502       562
         9       163       162
       406       405       318
       562       502        10
         9       162       161
       318       405       319
         9       161       160
       319       405       320
         9       160       159
       320       405       321
