 VARIABLES = "X",  "Y"
 ZONE N=       13534 , E=       19266 , F=FEPOINT, ET=QUADRILATERAL
        0.0400102543       -0.0421066479
       -0.0000102440        0.0010695239
        0.0000000000       -0.0275831900
       -0.0100000000       -0.0275831900
        0.0400000100       -0.0703197000
        0.0500000100       -0.0703197000
        0.0500000100       -0.0151533300
        0.0400000100       -0.0151533300
       -0.0000000000        0.0275831900
       -0.0100000000        0.0275831900
        0.0400044420       -0.0419298800
        0.0399827219       -0.0416838643
        0.0399431814       -0.0413964206
        0.0398841229       -0.0410787462
        0.0398030660       -0.0407272546
        0.0397060195       -0.0403214917
        0.0395904653       -0.0398403486
        0.0394636899       -0.0393145111
        0.0393344228       -0.0387806847
        0.0392042861       -0.0382457965
        0.0390729188       -0.0377088858
        0.0389408323       -0.0371714182
        0.0388083033       -0.0366346076
        0.0386752746       -0.0360985537
        0.0385417570       -0.0355630107
        0.0384076598       -0.0350279507
        0.0382730233       -0.0344933614
        0.0381378464       -0.0339593890
        0.0380021721       -0.0334262742
        0.0378660529       -0.0328940886
        0.0377293947       -0.0323626354
        0.0375921351       -0.0318316872
        0.0374542814       -0.0313012224
        0.0373158230       -0.0307714328
        0.0371768472       -0.0302425061
        0.0370373593       -0.0297143965
        0.0368971957       -0.0291868802
        0.0367566380       -0.0286597409
        0.0366154652       -0.0281331449
        0.0364735176       -0.0276073679
        0.0363309069       -0.0270824640
        0.0361876378       -0.0265582313
        0.0360436650       -0.0260345282
        0.0358990092       -0.0255115270
        0.0357537499       -0.0249894948
        0.0356079474       -0.0244686351
        0.0354616033       -0.0239492752
        0.0353148250       -0.0234316701
        0.0351675122       -0.0229153741
        0.0350192681       -0.0223991699
        0.0348696787       -0.0218815523
        0.0347183763       -0.0213613994
        0.0345652398       -0.0208385346
        0.0344105043       -0.0203137791
        0.0342544556       -0.0197881473
        0.0340971543       -0.0192621463
        0.0339385809       -0.0187358177
        0.0337795008       -0.0182099849
        0.0336200932       -0.0176860441
        0.0334590196       -0.0171618483
        0.0332958545       -0.0166355238
        0.0331314546       -0.0161093531
        0.0329666085       -0.0155858446
        0.0328011388       -0.0150647552
        0.0326341845       -0.0145433120
        0.0324657168       -0.0140213634
        0.0322959059       -0.0134996135
        0.0321248181       -0.0129783271
        0.0319525842       -0.0124579928
        0.0317793458       -0.0119391627
        0.0316052953       -0.0114222900
        0.0314294952       -0.0109050441
        0.0312513577       -0.0103860154
        0.0310722247       -0.0098664335
        0.0308920203       -0.0093474074
        0.0307094742       -0.0088291549
        0.0305248634       -0.0083113124
        0.0303385508       -0.0077940837
        0.0301506105       -0.0072777373
        0.0299610795       -0.0067623159
        0.0297698727       -0.0062478228
        0.0295770101       -0.0057344638
        0.0293826427       -0.0052225834
        0.0291865043       -0.0047125636
        0.0289894554       -0.0042050835
        0.0287921956       -0.0036991443
        0.0285917142       -0.0031928184
        0.0283874259       -0.0026861828
        0.0281806506       -0.0021799478
        0.0279716129       -0.0016747345
        0.0277603273       -0.0011708399
        0.0275468381       -0.0006684072
        0.0273311093       -0.0001676450
        0.0271126044        0.0003314171
        0.0268925487        0.0008295762
        0.0266709869        0.0013267243
        0.0264449075        0.0018217428
        0.0262151558        0.0023151984
        0.0259824423        0.0028071107
        0.0257466204        0.0032971142
        0.0255076574        0.0037849940
        0.0252657035        0.0042704668
        0.0250204992        0.0047522997
        0.0247738245        0.0052309078
        0.0245244951        0.0057085269
        0.0242679612        0.0061843180
        0.0240063460        0.0066580515
        0.0237403123        0.0071291920
        0.0234696953        0.0075972828
        0.0231943625        0.0080620911
        0.0229140575        0.0085233580
        0.0226284704        0.0089808579
        0.0223373139        0.0094343885
        0.0220402400        0.0098835677
        0.0217370274        0.0103280320
        0.0214272370        0.0107673048
        0.0211105578        0.0112009690
        0.0207865994        0.0116285213
        0.0204548847        0.0120493710
        0.0201150805        0.0124629699
        0.0197666613        0.0128685298
        0.0194101265        0.0132659797
        0.0190418200        0.0136493868
        0.0186664828        0.0140161026
        0.0182920385        0.0143660762
        0.0179190918        0.0146942949
        0.0175527061        0.0149856246
        0.0172074146        0.0152480272
        0.0168730038        0.0154830808
