    np2    ns2
    550    550
 Face:           1
       503       381       380
       503       380       504
       502       381       503
       504       380       221
       501       381       502
       221       380       222
       504       221       220
       501       382       381
       222       380       379
       504       220       505
       500       382       501
       223       222       379
       505       220       219
       499       382       500
       224       223       379
       505       219       506
       499       383       382
       225       224       379
       506       219       218
       498       383       499
       225       379       378
       506       218       507
       498       384       383
       226       225       378
       507       218       217
       497       384       498
       227       226       378
       507       217       508
       497       385       384
       228       227       378
       508       217       216
       496       385       497
       228       378       377
       508       216       509
         4       385       496
       229       228       377
       509       216       215
       230       229       377
       509       215       510
       231       230       377
       510       215       214
       231       377       376
       510       214       511
       232       231       376
       511       214       213
       233       232       376
       511       213       212
       234       233       376
       511       212       512
       234       376       375
       512       212       211
       235       234       375
       512       211       210
       236       235       375
       512       210       513
       237       236       375
       513       210       209
       238       237       375
       513       209       208
       239       238       375
       513       208       514
       240       239       375
       514       208       207
       240       375       374
       514       207       206
       241       240       374
       514       206       205
       242       241       374
       514       205       515
       243       242       374
       515       205       204
       244       243       374
       515       204         2
       245       244       374
       515         2       516
       246       245       374
       516         2       203
       247       246       374
       516       203       517
       248       247       374
       517       203       202
       264       248       374
       517       202       201
       265       264       374
       264       263       248
       517       201       518
       266       265       374
       248       263       249
       518       201       200
       267       266       374
       263       262       249
       518       200       199
       268       267       374
       262       261       249
       518       199       198
       374       373       268
       249       261       250
       518       198       519
       268       373       269
       250       261       252
       519       198       197
       269       373       270
       261       255       252
       251       250       252
       519       197       196
       270       373       271
       252       255       254
       261       259       255
       519       196       195
       271       373       272
       253       252       254
       255       259       258
       261       260       259
       519       195       520
       272       373       273
       257       255       258
       520       195       194
       273       373       274
       256       255       257
       520       194       193
       274       373       275
       520       193       521
       275       373       276
       521       193       192
       373       372       276
       521       192       522
       276       372       277
       522       192       191
       277       372       278
       522       191       190
       278       372       279
       522       190       523
       279       372       280
       523       190       189
       280       372       281
       523       189       524
       281       372       282
       524       189       188
         3       282       372
       524       188       187
         3       283       282
       524       187       525
         3       284       283
       525       187       186
         3       285       284
       525       186       185
         3       286       285
       525       185       526
         3       287       286
       526       185       184
         3       288       287
       526       184       527
         3       289       288
       527       184       183
         3       290       289
       527       183       182
         3       291       290
       527       182       528
         3       292       291
       528       182       181
         3       293       292
       528       181       529
         3       294       293
       529       181       180
         3       295       294
       529       180       179
         3       296       295
       529       179       530
         3       297       296
       530       179       178
         3       298       297
       530       178       531
         3       299       298
       531       178       177
         3       300       299
       531       177       176
         3       301       300
       531       176       532
         3       302       301
       532       176       175
         3       303       302
       532       175       533
         3       416       303
       533       175       174
       303       416       304
       533       174       534
       304       416       305
       534       174       173
       305       416       306
       534       173       172
       416       415       306
       534       172       535
       306       415       307
       535       172       171
       307       415       308
       535       171       536
       308       415       309
       536       171       170
       309       415       310
       536       170       537
       415       414       310
       537       170       169
       310       414       311
       537       169       538
       311       414       312
       538       169       168
       312       414       313
       538       168       167
       414       413       313
       538       167       539
       313       413       314
       539       167       166
       314       413       315
       539       166       540
       315       413       316
       540       166       165
       316       413       317
       540       165       488
       413       412       317
       165       164       488
       540       488       541
       317       412       318
       164       489       488
       541       488       542
       318       412       319
       164       163       489
       542       488       487
       319       412       320
       163       162       489
       542       487       543
       412       411       320
       162       161       489
       543       487       486
       320       411       321
       161       490       489
       543       486       544
       321       411       322
       161       160       490
       544       486       545
       322       411       323
       160       159       490
       545       486       485
       410       323       411
       159       491       490
       545       485       546
       410       324       323
       159       158       491
       546       485       547
       410       325       324
       158       157       491
       547       485       484
       410       326       325
       157       492       491
       547       484       548
       409       326       410
       157       156       492
       548       484       483
       409       327       326
       156       155       492
       548       483       549
       409       328       327
       155       154       492
       549       483       482
       409       329       328
       154       493       492
       549       482       550
       408       329       409
       154       153       493
       550       482        10
       408       330       329
       153       152       493
       408       331       330
       152       453       493
       408       332       331
       453       494       493
       151       453       152
       407       332       408
       453       452       494
       454       453       151
       407       333       332
       452       495       494
       150       454       151
       407       334       333
       452       451       495
       149       454       150
       407       335       334
       451         9       495
       148       454       149
       406       335       407
       147       454       148
       406       336       335
       455       454       147
       406       337       336
       146       455       147
       406       338       337
       145       455       146
       405       338       406
       144       455       145
       405       339       338
       143       455       144
       405       340       339
       456       455       143
       404       340       405
       143       142       456
       404       341       340
       142       141       456
       404       342       341
       141       140       456
       404       343       342
       140       139       456
       403       343       404
       139       457       456
       403       344       343
       139       138       457
       403       345       344
       138       137       457
       403       346       345
       137       136       457
       402       346       403
       136       135       457
       402       347       346
       135       458       457
       402       348       347
       135       134       458
       402       349       348
       134       133       458
       401       349       402
       133       459       458
       401       350       349
       133       132       459
       401       351       350
       132       131       459
       401       352       351
       131       130       459
       400       352       401
       130       460       459
       400       353       352
       130       129       460
       400       354       353
       129       128       460
       399       354       400
       128       461       460
       399       355       354
       128       127       461
       399       356       355
       127       126       461
       399       357       356
       126       125       461
       398       357       399
       125       462       461
       398       358       357
       125       124       462
       398       359       358
       124       123       462
       398       360       359
       123       463       462
