 VARIABLES = "X",  "Y"
 ZONE N=       13686 , E=       19562 , F=FEPOINT, ET=QUADRILATERAL
        0.0400102543       -0.0421066450
       -0.0000102440        0.0010695246
        0.0160788400       -0.0189151400
       -0.0100000000       -0.0189151400
        0.0400000100       -0.0610217500
        0.0500000100       -0.0610217500
        0.0500000100       -0.0058553800
        0.0400000100       -0.0058553800
        0.0160788400        0.0362512300
       -0.0100000000        0.0362512300
        0.0400043565       -0.0419284543
        0.0399815759       -0.0416738236
        0.0399395992       -0.0413742122
        0.0398774765       -0.0410482648
        0.0397942032       -0.0406900575
        0.0396949330       -0.0402752167
        0.0395773476       -0.0397858013
        0.0394494838       -0.0392557520
        0.0393197128       -0.0387201082
        0.0391890382       -0.0381833079
        0.0390571316       -0.0376445574
        0.0389245785       -0.0371054212
        0.0387915635       -0.0365670179
        0.0386580606       -0.0360293466
        0.0385240432       -0.0354921885
        0.0383894562       -0.0349555060
        0.0382543129       -0.0344192926
        0.0381186354       -0.0338837245
        0.0379824636       -0.0333490634
        0.0378458510       -0.0328153327
        0.0377086596       -0.0322822571
        0.0375708513       -0.0317495963
        0.0374324428       -0.0312174606
        0.0372934580       -0.0306861331
        0.0371539756       -0.0301557061
        0.0370139334       -0.0296260321
        0.0368732303       -0.0290968954
        0.0367321515       -0.0285681381
        0.0365903835       -0.0280399833
        0.0364478562       -0.0275126807
        0.0363046667       -0.0269862202
        0.0361608025       -0.0264603805
        0.0360162042       -0.0259349967
        0.0358708604       -0.0254101251
        0.0357248416       -0.0248859672
        0.0355781592       -0.0243626356
        0.0354306974       -0.0238400256
        0.0352824453       -0.0233179066
        0.0351333807       -0.0227962279
        0.0349835125       -0.0222751533
        0.0348329175       -0.0217548511
        0.0346815502       -0.0212353338
        0.0345293338       -0.0207164503
        0.0343762422       -0.0201980636
        0.0342222738       -0.0196802040
        0.0340673798       -0.0191630561
        0.0339116630       -0.0186467374
        0.0337555780       -0.0181310882
        0.0335987129       -0.0176161602
        0.0334406056       -0.0171022334
        0.0332815759       -0.0165896641
        0.0331218975       -0.0160788878
        0.0329615320       -0.0155697912
        0.0328000985       -0.0150614930
        0.0326373222       -0.0145530737
        0.0324731261       -0.0140442289
        0.0323074778       -0.0135350298
        0.0321403774       -0.0130255541
        0.0319718124       -0.0125158590
        0.0318017512       -0.0120060142
        0.0316302334       -0.0114960780
        0.0314571895       -0.0109861664
        0.0312824855       -0.0104764541
        0.0311068795       -0.0099668267
        0.0309303829       -0.0094573239
        0.0307516535       -0.0089482743
        0.0305707387       -0.0084394959
        0.0303880205       -0.0079308920
        0.0302035239       -0.0074225751
        0.0300172510       -0.0069145189
        0.0298291420       -0.0064066998
        0.0296391414       -0.0058992544
        0.0294473287       -0.0053922857
        0.0292534518       -0.0048858721
        0.0290575346       -0.0043801737
        0.0288609380       -0.0038749513
        0.0286624382       -0.0033702142
        0.0284602190       -0.0028658879
        0.0282551992       -0.0023617290
        0.0280477897       -0.0018580700
        0.0278379092       -0.0013550813
        0.0276255367       -0.0008528533
        0.0274107772       -0.0003516831
        0.0271931858        0.0001482371
        0.0269730526        0.0006474627
