 VARIABLES = "X",  "Y"
 ZONE N=       16908 , E=       22874 , F=FEPOINT, ET=QUADRILATERAL
       -0.0124497600       -0.0270510864
       -0.0097778992       -0.0269030541
       -0.0110360299       -0.0251186496
       -0.0091804178       -0.0248464785
       -0.0124497600       -0.0250939317
       -0.0080144107       -0.0276198570
       -0.0103034019       -0.0233429930
       -0.0078695414       -0.0260747174
       -0.0124497600       -0.0231751945
       -0.0085593531       -0.0230291011
       -0.0074010617       -0.0243441786
       -0.0064263062       -0.0273315396
       -0.0096039603       -0.0215899849
       -0.0111241336       -0.0219087218
       -0.0061004762       -0.0255815428
       -0.0079730378       -0.0213079902
       -0.0068968395       -0.0226484787
       -0.0124497600       -0.0212881429
       -0.0057243184       -0.0238911712
       -0.0047463032       -0.0268212543
       -0.0090516743       -0.0199272220
       -0.0108234928       -0.0202427258
       -0.0044602153       -0.0250606090
       -0.0033003994       -0.0278137721
       -0.0073921124       -0.0197164361
       -0.0063846666       -0.0210464378
       -0.0053036781       -0.0222874968
       -0.0124497600       -0.0194420731
       -0.0041539901       -0.0234260955
       -0.0031176430       -0.0260861242
       -0.0085251287       -0.0179098541
       -0.0099971447       -0.0187708914
       -0.0113349668       -0.0186323025
       -0.0029332343       -0.0244592001
       -0.0016763984       -0.0270113601
       -0.0066411410       -0.0184011651
       -0.0057950396       -0.0196518633
       -0.0048337247       -0.0208090198
       -0.0037904078       -0.0219130953
       -0.0124497600       -0.0176442131
       -0.0027071950       -0.0229261600
       -0.0015646006       -0.0253495358
       -0.0070047879       -0.0170795909
       -0.0107064547       -0.0170050683
       -0.0015681609       -0.0238357437
        0.0000311234       -0.0260831094
       -0.0003951781       -0.0277442879
       -0.0057882716       -0.0174941188
       -0.0080115091       -0.0163865749
       -0.0051283017       -0.0184071318
       -0.0093466599       -0.0159582594
       -0.0043083086       -0.0194792565
       -0.0033717639       -0.0205241251
       -0.0023782599       -0.0215105891
       -0.0124497600       -0.0158582134
